genetic,exercise,smoking,alcohol,lifespan,sugar,BMI
73.9,0.9,0.0,2.4,73.1,6.9,29.1
86.0,1.8,8.1,0.4,85.0,4.2,35.6
83.3,1.1,0.8,4.6,81.6,7.5,36.0
82.8,4.7,11.8,1.0,81.0,2.9,41.4
78.7,1.5,8.3,4.9,75.0,5.5,22.6
88.2,1.8,0.4,2.1,87.5,8.0,14.7
84.1,4.3,2.2,0.2,86.8,6.0,28.3
76.8,2.6,21.0,1.7,69.4,3.7,37.4
92.1,1.9,17.8,5.1,86.1,7.1,18.6
79.0,3.7,0.5,1.2,77.8,6.1,43.9
84.9,2.0,7.7,5.1,82.1,6.4,26.1
85.1,1.9,3.1,4.8,83.3,10.1,19.0
78.0,0.7,14.0,1.0,72.3,7.9,38.2
76.5,3.0,14.0,1.0,74.6,6.3,17.5
80.7,1.9,0.5,4.0,80.0,5.3,34.6
81.1,1.7,11.0,0.7,78.6,4.9,29.9
91.6,1.6,13.5,5.0,86.8,12.7,25.6
74.9,1.8,16.8,4.8,67.5,4.6,34.4
81.0,4.6,20.5,1.3,79.0,3.7,37.1
80.6,3.6,12.3,4.5,80.2,1.0,28.0
98.1,3.4,2.6,4.0,98.5,7.9,23.2
77.8,3.3,16.7,3.5,72.9,9.6,30.9
72.4,3.0,14.3,5.7,67.3,9.7,44.0
86.7,1.8,0.5,5.3,84.8,8.5,15.2
82.3,4.1,0.7,3.0,83.6,13.7,26.0
73.1,4.1,4.5,5.6,71.2,2.4,41.7
68.3,1.6,20.0,0.3,64.9,5.4,22.7
82.5,1.2,11.6,5.7,77.5,7.6,38.4
72.6,2.2,18.5,5.6,62.9,9.9,41.7
89.4,1.8,2.8,2.3,87.9,5.9,17.8
76.6,2.4,3.4,4.6,75.5,5.1,16.8
78.1,3.5,2.4,4.9,79.1,8.5,21.6
79.3,1.6,16.5,1.5,72.7,8.5,44.7
101.0,2.4,0.5,5.2,99.5,10.7,34.3
81.9,1.8,18.5,5.1,80.3,11.0,33.5
74.0,3.9,21.7,4.3,71.5,8.2,25.7
85.5,1.2,3.8,4.5,83.1,4.0,30.0
85.3,1.2,0.3,1.5,85.0,8.9,17.5
94.1,3.0,1.8,1.3,93.6,5.6,31.3
94.2,1.2,17.1,2.2,89.7,7.9,26.7
79.6,1.2,13.0,2.0,76.8,8.2,26.0
91.0,3.5,9.6,2.1,88.9,8.3,43.4
86.4,0.9,11.9,4.2,81.2,2.3,33.0
69.6,4.6,20.7,2.9,63.4,1.8,33.7
84.1,3.9,5.0,0.8,85.0,8.1,24.3
