genetic;length;mass;exercise;smoking;alcohol;sugar;lifespan
78.0;193.0;61.0;1.0;14.0;6.0;2.0;73.0
80.0;183.0;90.0;1.0;5.0;1.0;2.0;78.0
80.0;188.0;69.0;1.0;2.0;9.0;2.0;81.0
77.0;179.0;75.0;1.0;0.0;6.0;5.0;67.0
80.0;177.0;61.0;0.0;10.0;6.0;4.0;63.0
81.0;192.0;82.0;3.0;11.0;9.0;2.0;86.0
78.0;204.0;75.0;3.0;7.0;9.0;2.0;93.0
79.0;194.0;81.0;2.0;4.0;9.0;3.0;77.0
81.0;196.0;96.0;1.0;17.0;10.0;3.0;64.0
80.0;170.0;66.0;1.0;7.0;0.0;1.0;79.0
78.0;187.0;81.0;1.0;19.0;8.0;2.0;56.0
80.0;160.0;78.0;2.0;2.0;0.0;3.0;89.0
78.0;184.0;68.0;2.0;12.0;4.0;3.0;79.0
79.0;179.0;70.0;2.0;7.0;8.0;2.0;81.0
82.0;189.0;80.0;2.0;13.0;6.0;3.0;78.0
78.0;181.0;73.0;3.0;5.0;5.0;3.0;87.0
80.0;188.0;80.0;1.0;6.0;2.0;3.0;75.0
80.0;191.0;65.0;1.0;1.0;7.0;1.0;84.0
83.0;176.0;66.0;2.0;3.0;7.0;2.0;91.0
81.0;177.0;74.0;1.0;18.0;6.0;2.0;70.0
82.0;173.0;67.0;1.0;0.0;7.0;2.0;85.0
81.0;180.0;64.0;2.0;1.0;7.0;2.0;91.0
79.0;208.0;93.0;1.0;1.0;5.0;3.0;79.0
78.0;192.0;64.0;1.0;20.0;6.0;1.0;69.0
80.0;181.0;65.0;1.0;6.0;0.0;2.0;76.0
83.0;161.0;60.0;1.0;18.0;6.0;2.0;63.0
76.0;200.0;83.0;1.0;18.0;3.0;4.0;54.0
80.0;185.0;75.0;2.0;8.0;6.0;4.0;72.0
79.0;180.0;73.0;1.0;1.0;5.0;1.0;82.0
79.0;180.0;79.0;1.0;21.0;1.0;2.0;64.0
80.0;187.0;67.0;1.0;5.0;8.0;2.0;71.0
81.0;192.0;87.0;2.0;4.0;5.0;2.0;87.0
81.0;185.0;91.0;2.0;19.0;5.0;2.0;73.0
80.0;182.0;87.0;2.0;11.0;9.0;2.0;76.0
82.0;175.0;92.0;1.0;4.0;10.0;3.0;68.0
82.0;163.0;75.0;1.0;1.0;7.0;2.0;77.0
80.0;166.0;68.0;1.0;20.0;9.0;4.0;58.0
81.0;198.0;101.0;3.0;11.0;2.0;2.0;89.0
