(1) Schlüsselzahl (Schl.) der Tat;(2) Straftat;(3) Geschlecht;(4) Tatverdächtige insgesamt;(5) Kinder bis unter 6 Jahre;(6) Kinder 6  bis unter 8 ;(7) Kinder 8  bis unter 10;(8) Kinder 10  bis unter 12;(9) Kinder 12  bis unter 14;(10) Kinder insgesamt ;(11) Jugendliche 14 bis unter 16;(12) Jugendliche 16  bis unter 18;(13) Jugendliche insgesamt;(13a) Minderjährige insgesamt;(14) Heranwachsende;(15) Insgesamt bis unter 21 Jahre;(16) Erwachsene 21 bis unter 23;(17) Erwachsene 23  bis unter 25;(18) Erwachsene 21 bis unter 25;(19) Erwachsene 25  bis unter 30;(20) Erwachsene 30  bis unter 40;(21) Erwachsene 40  bis unter 50;(22) Erwachsene 50  bis unter 60;(23) Erwachsene 60  und mehr Jahre;(24) Erwachsene insgesamt
0----7;Straftaten insgesamt;W;15.528;102;54;81;201;502;940;711;717;1.428;2.368;1.011;3.379;687;648;1.335;1.624;3.213;2.391;1.998;1.588;12.149
0----7;Straftaten insgesamt;M;48.755;121;98;255;461;911;1.846;1.835;2.450;4.285;6.131;4.276;10.407;2.830;2.530;5.360;5.926;10.253;7.121;5.608;4.080;38.348
0----7;Straftaten insgesamt;G;64.283;223;152;336;662;1.413;2.786;2.546;3.167;5.713;8.499;5.287;13.786;3.517;3.178;6.695;7.550;13.466;9.512;7.606;5.668;50.497
0;Straftaten gegen das Leben;W;22;0;0;0;0;0;0;0;1;1;1;1;2;1;2;3;3;5;5;3;1;20
0;Straftaten gegen das Leben;M;111;0;0;0;2;2;4;4;2;6;10;10;20;7;0;7;22;27;18;10;7;91
0;Straftaten gegen das Leben;G;133;0;0;0;2;2;4;4;3;7;11;11;22;8;2;10;25;32;23;13;8;111
10000;Mord § 211 StGB;W;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3
10000;Mord § 211 StGB;M;18;0;0;0;2;2;4;3;0;3;7;1;8;1;0;1;2;2;3;0;2;10
10000;Mord § 211 StGB;G;21;0;0;0;2;2;4;3;0;3;7;1;8;1;0;1;2;3;4;1;2;13
10079;Sonstiger Mord § 211 StGB;W;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3
10079;Sonstiger Mord § 211 StGB;M;18;0;0;0;2;2;4;3;0;3;7;1;8;1;0;1;2;2;3;0;2;10
10079;Sonstiger Mord § 211 StGB;G;21;0;0;0;2;2;4;3;0;3;7;1;8;1;0;1;2;3;4;1;2;13
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;W;6;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;1;2;0;1;0;4
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;M;62;0;0;0;0;0;0;1;2;3;3;5;8;5;0;5;16;15;9;6;3;54
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;G;68;0;0;0;0;0;0;1;3;4;4;6;10;5;0;5;17;17;9;7;3;58
20010;Totschlag § 212 StGB;W;6;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;1;2;0;1;0;4
20010;Totschlag § 212 StGB;M;61;0;0;0;0;0;0;1;2;3;3;5;8;5;0;5;16;15;9;6;2;53
20010;Totschlag § 212 StGB;G;67;0;0;0;0;0;0;1;3;4;4;6;10;5;0;5;17;17;9;7;2;57
20030;Tötung auf Verlangen § 216 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
20030;Tötung auf Verlangen § 216 StGB;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;W;11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;4;1;1;11
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;M;26;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;9;5;4;2;22
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;G;37;0;0;0;0;0;0;0;0;0;0;4;4;1;1;2;3;11;9;5;3;33
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;M;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;5
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;G;7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;1;1;0;0;7
40010;Schwangerschaftsabbruch § 218 StGB;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2
40010;Schwangerschaftsabbruch § 218 StGB;M;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;5
40010;Schwangerschaftsabbruch § 218 StGB;G;7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;1;1;0;0;7
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;W;173;0;1;2;11;28;42;23;16;39;81;8;89;7;3;10;10;23;30;9;2;84
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;M;2.183;1;4;10;28;97;140;218;191;409;549;200;749;120;106;226;215;387;267;193;146;1.434
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;G;2.356;1;5;12;39;125;182;241;207;448;630;208;838;127;109;236;225;410;297;202;148;1.518
110000;Straftaten gegen die sexuelle Selbstbestimmung §§174,174a, 174b, 174c, 177, 178, 184i, 184j StGB;W;10;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;3;4;1;0;9
110000;Straftaten gegen die sexuelle Selbstbestimmung §§174,174a, 174b, 174c, 177, 178, 184i, 184j StGB;M;836;0;0;2;4;15;21;40;56;96;117;85;202;64;60;124;89;168;109;73;71;634
110000;Straftaten gegen die sexuelle Selbstbestimmung §§174,174a, 174b, 174c, 177, 178, 184i, 184j StGB;G;846;0;0;2;4;15;21;40;56;96;117;86;203;64;61;125;89;171;113;74;71;643
